id_cliente,zona,pais,tipo_de_producto,canal_de_venta,prioridad,fecha_pedido,id_pedido,fecha_envio,unidades,precio_unitario,coste_unitario,importe_venta_total,importe_coste_total
c2421,europa,united kingdom,snacks,offline,critica,44116,242113196,44165,5530,152.58,97.44,843767.4,538843.2
c1908,europa,malta,carnicos,online,alta,43856,190800607,43858,994,421.89,364.69,419358.66,362501.86
c7652,australia y oceania,marshall islands,cereales,online,critica,44144,765228068,44156,6845,205.7,117.11,1408016.5,801617.95
c2326,africa,iran,frutas,offline,baja,44429,232631909,44471,9806,9.33,6.92,91489.98,67857.52
c5305,centroamerica y caribe,guatemala,alimento infantil,offline,media,44834,530560958,44877,3633,255.28,159.42,927432.24,579172.86
c5168,centroamerica y caribe,grenada,bebida,offline,baja,44582,516876542,44613,4110,47.45,31.79,195019.5,130656.9
c9197,australia y oceania,fiji,snacks,offline,media,44609,919752490,44619,4056,152.58,97.44,618864.4800000001,395216.64
c2876,africa,tunisia,cosmeticos,offline,media,43911,287675130,43958,8319,437.2,263.33,3637066.8,2190642.27
c8394,centroamerica y caribe,grenada,cuidado personal,offline,critica,44240,839443290,44287,8779,81.73,56.67,717507.67,497505.93
c8141,australia y oceania,australia,material de oficina,online,media,44362,814168298,44389,9347,651.21,524.96,6086859.87,4906801.12
c3212,norteamerica,greenland,cosmeticos,online,alta,44757,321273982,44803,966,437.2,263.33,422335.2,254376.78
c8904,africa,angola,snacks,online,critica,43964,890496671,43987,6609,152.58,97.44,1008401.2200000001,643980.96
c5218,africa,zambia,bebida,offline,critica,44322,521885192,44338,6281,47.45,31.79,298033.45,199672.99
c4358,africa,kenya,verduras,offline,alta,44142,435800874,44190,2018,154.06,90.93,310893.08,183496.74000000002
c1229,africa,azerbaijan,frutas,offline,critica,44489,122917544,44517,2888,9.33,6.92,26945.04,19984.96
c4942,africa,mozambique,cuidado personal,offline,critica,44490,494221532,44518,9989,81.73,56.67,816400.9700000001,566076.63
c7310,australia y oceania,federated states of micronesia,cosmeticos,offline,critica,43940,731011664,43951,1451,437.2,263.33,634377.2,382091.82999999996
c5348,centroamerica y caribe,dominican republic,snacks,offline,critica,44868,534899270,44869,7436,152.58,97.44,1134584.8800000001,724563.84
c5778,africa,libya,material de oficina,online,alta,44752,577808177,44764,5135,651.21,524.96,3343963.35,2695669.6
c2519,asia,uzbekistan,material de oficina,online,baja,44348,251974713,44368,3772,651.21,524.96,2456364.12,1980149.12
c8199,asia,sri lanka,cuidado personal,offline,media,44040,819947707,44079,9602,81.73,56.67,784771.4600000001,544145.34
c4645,africa,the gambia,cosmeticos,online,critica,44355,464588487,44402,912,437.2,263.33,398726.39999999997,240156.96
c1390,asia,myanmar,snacks,offline,media,44403,139070880,44412,3019,152.58,97.44,460639.02,294171.36
c4168,asia,bhutan,ropa,online,critica,44484,416881215,44490,3270,109.28,35.84,357345.6,117196.80000000002
c1418,africa,mali,verduras,online,critica,44523,141818320,44529,6047,154.06,90.93,931600.8200000001,549853.7100000001
c4779,africa,burundi,cuidado personal,online,alta,44592,477993524,44632,7761,81.73,56.67,634306.53,439815.87
c8598,africa,libya,ropa,offline,alta,44388,859830653,44413,1852,109.28,35.84,202386.56,66375.68000000001
c3420,africa,nigeria,ropa,offline,critica,44799,342066037,44845,3797,109.28,35.84,414936.16000000003,136084.48
c7497,europa,norway,domestico,online,critica,44248,749748504,44271,6098,668.27,502.54,4075110.46,3064488.92
c8282,africa,kenya,cosmeticos,offline,media,44438,828239381,44477,3293,437.2,263.33,1439699.5999999999,867145.69
c2932,australia y oceania,papua new guinea,verduras,online,alta,44611,293212497,44629,6948,154.06,90.93,1070408.8800000001,631781.64
c2806,asia,north korea,cuidado personal,offline,baja,44152,280654180,44198,663,81.73,56.67,54186.990000000005,37572.21
c1968,europa,montenegro,ropa,offline,media,44160,196863257,44205,5067,109.28,35.84,553721.76,181601.28000000003
c8684,europa,norway,frutas,offline,alta,44840,868451058,44842,2822,9.33,6.92,26329.26,19528.24
c4923,africa,lesotho,ropa,offline,baja,43928,492341411,43975,3619,109.28,35.84,395484.32,129704.96
c4857,asia,indonesia,carnicos,online,alta,44532,485770642,44545,9183,421.89,364.69,3874215.8699999996,3348948.27
c5362,africa,iraq,bebida,online,alta,44163,536287581,44193,8268,47.45,31.79,392316.60000000003,262839.72
c8517,asia,singapore,cereales,online,critica,44654,851753556,44693,1660,205.7,117.11,341462,194402.6
c8103,asia,south korea,verduras,online,media,44331,810342395,44347,7177,154.06,90.93,1105688.62,652604.6100000001
c3105,africa,lebanon,domestico,online,baja,44799,310540425,44805,4668,668.27,502.54,3119484.36,2345856.72
c2211,asia,myanmar,frutas,online,alta,44158,221146476,44196,1011,9.33,6.92,9432.63,6996.12
c1312,asia,vietnam,ropa,online,alta,44827,131271874,44831,5120,109.28,35.84,559513.6,183500.80000000002
c6003,africa,jordan,frutas,online,baja,44676,600340449,44714,2935,9.33,6.92,27383.55,20310.2
c9080,australia y oceania,palau,material de oficina,offline,baja,44854,908088529,44887,2430,651.21,524.96,1582440.3,1275652.8
c4045,centroamerica y caribe,antigua and barbuda,cereales,offline,critica,44047,404564940,44071,8611,205.7,117.11,1771282.7,1008434.21
c7601,australia y oceania,papua new guinea,cuidado personal,offline,baja,44217,760131013,44224,8513,81.73,56.67,695767.49,482431.71
c1154,centroamerica y caribe,el salvador,ropa,offline,media,44867,115460574,44884,6205,109.28,35.84,678082.4,222387.2
c7315,africa,republic of the congo,bebida,offline,baja,44600,731539952,44601,7783,47.45,31.79,369303.35000000003,247421.57
c4396,australia y oceania,vanuatu,carnicos,online,critica,44776,439667975,44825,6379,421.89,364.69,2691236.31,2326357.51
c2914,asia,bangladesh,ropa,offline,baja,44815,291455972,44820,7154,109.28,35.84,781789.12,256399.36000000002
c5088,africa,burundi,cereales,offline,baja,44805,508827769,44817,2299,205.7,117.11,472904.3,269235.89
c9340,africa,south sudan,verduras,online,media,43938,934019696,43958,6039,154.06,90.93,930368.34,549126.27
